PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
92,0,3,1,20,0,0,347466,7.8542,0,3
93,0,1,1,46,1,0,5734,61.175,5,3
94,0,3,1,26,1,2,2315,20.575,0,3
95,0,3,1,59,0,0,364500,7.25,0,3
96,0,3,1,25,0,0,374910,8.05,0,3
97,0,1,1,71,0,0,17754,34.6542,1,1
98,1,1,1,23,0,1,17759,63.3583,4,1
99,1,2,0,34,0,1,231919,23,0,3
100,0,2,1,34,1,0,244367,26,0,3
101,0,3,0,28,0,0,349245,7.8958,0,3
102,0,3,1,25,0,0,349215,7.8958,0,3
103,0,1,1,21,0,1,35281,77.2875,4,3
104,0,3,1,33,0,0,7540,8.6542,0,3
105,0,3,1,37,2,0,3101276,7.925,0,3
106,0,3,1,28,0,0,349207,7.8958,0,3
107,1,3,0,21,0,0,343120,7.65,0,3
108,1,3,1,22,0,0,312991,7.775,0,3
109,0,3,1,38,0,0,349249,7.8958,0,3
110,1,3,0,22,1,0,371110,24.15,0,2
111,0,1,1,47,0,0,110465,52,3,3
112,0,3,0,14.5,1,0,2665,14.4542,0,1
113,0,3,1,22,0,0,324669,8.05,0,3
114,0,3,0,20,1,0,4136,9.825,0,3
115,0,3,0,17,0,0,2627,14.4583,0,1
116,0,3,1,21,0,0,23101294,7.925,0,3
117,0,3,1,70.5,0,0,370369,7.75,0,2
118,0,2,1,29,1,0,11668,21,0,3
119,0,1,1,24,0,1,17558,247.5208,2,1
120,0,3,0,2,4,2,347082,31.275,0,3
121,0,2,1,21,2,0,14879,73.5,0,3
122,0,3,1,25,0,0,454510,8.05,0,3
123,0,2,1,32.5,1,0,237736,30.0708,0,1
124,1,2,0,32.5,0,0,27267,13,5,3
125,0,1,1,54,0,1,35281,77.2875,4,3
126,1,3,1,12,1,0,2651,11.2417,0,1
127,0,3,1,25,0,0,370372,7.75,0,2
128,1,3,1,24,0,0,17369,7.1417,0,3
129,1,3,0,22,1,1,2668,22.3583,6,1
130,0,3,1,45,0,0,347061,6.975,0,3
131,0,3,1,33,0,0,349241,7.8958,0,1
132,0,3,1,20,0,0,3101307,7.05,0,3
133,0,3,0,47,1,0,53337,14.5,0,3
134,1,2,0,29,1,0,228414,26,0,3
135,0,2,1,25,0,0,29178,13,0,3
136,0,2,1,23,0,0,2133,15.0458,0,1
137,1,1,0,19,0,2,11752,26.2833,4,3
138,0,1,1,37,1,0,113803,53.1,3,3
139,0,3,1,16,0,0,7534,9.2167,0,3
140,0,1,1,24,0,0,17593,79.2,2,1
141,0,3,0,25,0,2,2678,15.2458,0,1
142,1,3,0,22,0,0,347081,7.75,0,3
143,1,3,0,24,1,0,23101279,15.85,0,3
144,0,3,1,19,0,0,365222,6.75,0,2
145,0,2,1,18,0,0,231945,11.5,0,3
146,0,2,1,19,1,1,33112,36.75,0,3
147,1,3,1,27,0,0,350043,7.7958,0,3
148,0,3,0,9,2,2,6608,34.375,0,3
149,0,2,1,36.5,0,2,230080,26,6,3
150,0,2,1,42,0,0,244310,13,0,3
151,0,2,1,51,0,0,1166,12.525,0,3
152,1,1,0,22,1,0,113776,66.6,3,3
153,0,3,1,55.5,0,0,511206,8.05,0,3
154,0,3,1,40.5,0,2,5851,14.5,0,3
155,0,3,1,25,0,0,265302,7.3125,0,3
156,0,1,1,51,0,1,17597,61.3792,0,1
157,1,3,0,16,0,0,35851,7.7333,0,2
158,0,3,1,30,0,0,392090,8.05,0,3
159,0,3,1,25,0,0,315037,8.6625,0,3
160,0,3,1,25,8,2,2343,69.55,0,3
161,0,3,1,44,0,1,371362,16.1,0,3
162,1,2,0,40,0,0,33595,15.75,0,3
163,0,3,1,26,0,0,347068,7.775,0,3
164,0,3,1,17,0,0,315093,8.6625,0,3
165,0,3,1,1,4,1,3101295,39.6875,0,3
166,1,3,1,9,0,2,363291,20.525,0,3
167,1,1,0,35,0,1,113505,55,5,3
168,0,3,0,45,1,4,347088,27.9,0,3
169,0,1,1,45.25,0,0,17318,25.925,0,3
170,0,3,1,28,0,0,1601,56.4958,0,3
171,0,1,1,61,0,0,111240,33.5,2,3
172,0,3,1,4,4,1,382652,29.125,0,2
173,1,3,0,1,1,1,347742,11.1333,0,3
174,0,3,1,21,0,0,23101280,7.925,0,3
175,0,1,1,56,0,0,17764,30.6958,1,1
176,0,3,1,18,1,1,350404,7.8542,0,3
177,0,3,1,25,3,1,4133,25.4667,0,3
178,0,1,0,50,0,0,17595,28.7125,3,1
179,0,2,1,30,0,0,250653,13,0,3
180,0,3,1,36,0,0,,0,0,3
181,0,3,0,25,8,2,2343,69.55,0,3
182,0,2,1,30.5,0,0,2131,15.05,0,1
183,0,3,1,9,4,2,347077,31.3875,0,3
184,1,2,1,1,2,1,230136,39,6,3
185,1,3,0,4,0,2,315153,22.025,0,3
186,0,1,1,45.25,0,0,113767,50,1,3
187,1,3,0,22,1,0,370365,15.5,0,2
188,1,1,1,45,0,0,111428,26.55,0,3
189,0,3,1,40,1,1,364849,15.5,0,2
190,0,3,1,36,0,0,349247,7.8958,0,3
191,1,2,0,32,0,0,234604,13,0,3
192,0,2,1,19,0,0,28424,13,0,3
193,1,3,0,19,1,0,350046,7.8542,0,3
194,1,2,1,3,1,1,230080,26,6,3
195,1,1,0,44,0,0,17610,27.7208,2,1
196,1,1,0,58,0,0,17569,146.5208,2,1
197,0,3,1,25,0,0,368703,7.75,0,2
198,0,3,1,42,0,1,4579,8.4042,0,3
199,1,3,0,22,0,0,370370,7.75,0,2
200,0,2,0,24,0,0,248747,13,0,3
201,0,3,1,28,0,0,345770,9.5,0,3
202,0,3,1,25,8,2,2343,69.55,0,3
203,0,3,1,34,0,0,3101264,6.4958,0,3
204,0,3,1,45.5,0,0,2628,7.225,0,1
205,1,3,1,18,0,0,53540,8.05,0,3
206,0,3,0,2,0,1,347054,10.4625,7,3
207,0,3,1,32,1,0,3101278,15.85,0,3
208,1,3,1,26,0,0,2699,18.7875,0,1
209,1,3,0,16,0,0,367231,7.75,0,2
210,1,1,1,40,0,0,112277,31,1,1
211,0,3,1,24,0,0,3101311,7.05,0,3
212,1,2,0,35,0,0,13528,21,0,3
213,0,3,1,22,0,0,521174,7.25,0,3
214,0,2,1,30,0,0,250646,13,0,3
215,0,3,1,25,1,0,367229,7.75,0,2
216,1,1,0,31,1,0,35273,113.275,4,1
217,1,3,0,27,0,0,23101283,7.925,0,3
218,0,2,1,42,1,0,243847,27,0,3
219,1,1,0,32,0,0,11813,76.2917,4,1
220,0,2,1,30,0,0,14208,10.5,0,3
221,1,3,1,16,0,0,392089,8.05,0,3
222,0,2,1,27,0,0,220367,13,0,3
223,0,3,1,51,0,0,21440,8.05,0,3
224,0,3,1,25,0,0,349234,7.8958,0,3
225,1,1,1,38,1,0,19943,90,3,3
226,0,3,1,22,0,0,4348,9.35,0,3
227,1,2,1,19,0,0,751,10.5,0,3
228,0,3,1,20.5,0,0,521173,7.25,0,3
229,0,2,1,18,0,0,236171,13,0,3
230,0,3,0,25,3,1,4133,25.4667,0,3
231,1,1,0,35,1,0,36973,83.475,3,3
232,0,3,1,29,0,0,347067,7.775,0,3
233,0,2,1,59,0,0,237442,13.5,0,3
234,1,3,0,5,4,2,347077,31.3875,0,3
235,0,2,1,24,0,0,29566,10.5,0,3
236,0,3,0,25,0,0,6609,7.55,0,3
237,0,2,1,44,1,0,26707,26,0,3
238,1,2,0,8,0,2,31921,26.25,0,3
239,0,2,1,19,0,0,28665,10.5,0,3
240,0,2,1,33,0,0,1585,12.275,0,3
241,0,3,0,25,1,0,2665,14.4542,0,1
242,1,3,0,22,1,0,367230,15.5,0,2
243,0,2,1,29,0,0,14263,10.5,0,3
244,0,3,1,22,0,0,23101275,7.125,0,3
245,0,3,1,30,0,0,2694,7.225,0,1
246,0,1,1,44,2,0,19928,90,3,2
247,0,3,0,25,0,0,347071,7.775,0,3
248,1,2,0,24,0,2,250649,14.5,0,3
249,1,1,1,37,1,1,11751,52.5542,4,3
250,0,2,1,54,1,0,244252,26,0,3
251,0,3,1,25,0,0,362316,7.25,0,3
252,0,3,0,29,1,1,347054,10.4625,7,3
253,0,1,1,62,0,0,113514,26.55,3,3
254,0,3,1,30,1,0,53336,16.1,0,3
255,0,3,0,41,0,2,370129,20.2125,0,3
256,1,3,0,29,0,2,2650,15.2458,0,1
257,1,1,0,35,0,0,17585,79.2,0,1
258,1,1,0,30,0,0,110152,86.5,2,3
259,1,1,0,35,0,0,17755,512.3292,0,1
260,1,2,0,50,0,1,230433,26,0,3
261,0,3,1,25,0,0,384461,7.75,0,2
262,1,3,1,3,4,2,347077,31.3875,0,3
263,0,1,1,52,1,1,110413,79.65,5,3
264,0,1,1,40,0,0,112059,0,2,3
265,0,3,0,25,0,0,382649,7.75,0,2
266,0,2,1,36,0,0,17248,10.5,0,3
267,0,3,1,16,4,1,3101295,39.6875,0,3
268,1,3,1,25,1,0,347083,7.775,0,3
269,1,1,0,58,0,1,17582,153.4625,3,3
270,1,1,0,35,0,0,17760,135.6333,3,3
271,0,1,1,45.25,0,0,113798,31,0,3
272,1,3,1,25,0,0,,0,0,3
273,1,2,0,41,0,1,250644,19.5,0,3
274,0,1,1,37,0,1,17596,29.7,3,1
275,1,3,0,22,0,0,370375,7.75,0,2
276,1,1,0,63,1,0,13502,77.9583,4,3
277,0,3,0,45,0,0,347073,7.75,0,3
278,0,2,1,30.5,0,0,239853,0,0,3
279,0,3,1,7,4,1,382652,29.125,0,2
280,1,3,0,35,1,1,2673,20.25,0,3
281,0,3,1,65,0,0,336439,7.75,0,2
282,0,3,1,28,0,0,347464,7.8542,0,3
283,0,3,1,16,0,0,345778,9.5,0,3
284,1,3,1,19,0,0,510482,8.05,0,3
285,0,1,1,45.25,0,0,113056,26,1,3
286,0,3,1,33,0,0,349239,8.6625,0,1
287,1,3,1,30,0,0,345774,9.5,0,3
288,0,3,1,22,0,0,349206,7.8958,0,3
289,1,2,1,42,0,0,237798,13,0,3
290,1,3,0,22,0,0,370373,7.75,0,2
291,1,1,0,26,0,0,19877,78.85,0,3
292,1,1,0,19,1,0,11967,91.0792,2,1
293,0,2,1,36,0,0,2163,12.875,4,1
294,0,3,0,24,0,0,349236,8.85,0,3
295,0,3,1,24,0,0,349233,7.8958,0,3
296,0,1,1,45.25,0,0,17612,27.7208,0,1
297,0,3,1,23.5,0,0,2693,7.2292,0,1
298,0,1,0,2,1,2,113781,151.55,3,3
299,1,1,1,35,0,0,19988,30.5,3,3
300,1,1,0,50,0,1,17558,247.5208,2,1
301,1,3,0,22,0,0,9234,7.75,0,2
302,1,3,1,22,2,0,367226,23.25,0,2
303,0,3,1,19,0,0,,0,0,3
304,1,2,0,28,0,0,226593,12.35,5,2
305,0,3,1,25,0,0,52466,8.05,0,3
306,1,1,1,0.92,1,2,113781,151.55,3,3
307,1,1,0,35,0,0,17421,110.8833,0,1
308,1,1,0,17,1,0,17758,108.9,3,1
309,0,2,1,30,1,0,3381,24,0,1
310,1,1,0,30,0,0,17485,56.9292,5,1
311,1,1,0,24,0,0,11767,83.1583,3,1
312,1,1,0,18,2,2,17608,262.375,2,1
313,0,2,0,26,1,1,250651,26,0,3
314,0,3,1,28,0,0,349243,7.8958,0,3
315,0,2,1,43,1,1,13529,26.25,0,3
316,1,3,0,26,0,0,347470,7.8542,0,3
317,1,2,0,24,1,0,244367,26,0,3
318,0,2,1,54,0,0,29011,14,0,3
319,1,1,0,31,0,2,36928,164.8667,3,3
320,1,1,0,40,1,1,16966,134.5,5,1
321,0,3,1,22,0,0,521172,7.25,0,3
322,0,3,1,27,0,0,349219,7.8958,0,3
323,1,2,0,30,0,0,234818,12.35,0,2
324,1,2,0,22,1,1,248738,29,0,3
325,0,3,1,25,8,2,2343,69.55,0,3
326,1,1,0,36,0,0,17760,135.6333,3,1
327,0,3,1,61,0,0,345364,6.2375,0,3
328,1,2,0,36,0,0,28551,13,4,3
329,1,3,0,31,1,1,363291,20.525,0,3
330,1,1,0,16,0,1,111361,57.9792,2,1
331,1,3,0,22,2,0,367226,23.25,0,2
332,0,1,1,45.5,0,0,113043,28.5,3,3
333,0,1,1,38,0,1,17582,153.4625,3,3
334,0,3,1,16,2,0,345764,18,0,3
335,1,1,0,35,1,0,17611,133.65,0,3
336,0,3,1,25,0,0,349225,7.8958,0,3
337,0,1,1,29,1,0,113776,66.6,3,3
338,1,1,0,41,0,0,16966,134.5,5,1
339,1,3,1,45,0,0,7598,8.05,0,3
340,0,1,1,45,0,0,113784,35.5,8,3
341,1,2,1,2,1,1,230080,26,6,3
342,1,1,0,24,3,2,19950,263,3,3
343,0,2,1,28,0,0,248740,13,0,3
344,0,2,1,25,0,0,244361,13,0,3
345,0,2,1,36,0,0,229236,13,0,3
346,1,2,0,24,0,0,248733,13,6,3
347,1,2,0,40,0,0,31418,13,0,3
348,1,3,0,22,1,0,386525,16.1,0,3
349,1,3,1,3,1,1,37671,15.9,0,3
350,0,3,1,42,0,0,315088,8.6625,0,3
351,0,3,1,23,0,0,7267,9.225,0,3
352,0,1,1,45.25,0,0,113510,35,3,3
353,0,3,1,15,1,1,2695,7.2292,0,1
354,0,3,1,25,1,0,349237,17.8,0,3
355,0,3,1,25,0,0,2647,7.225,0,1
356,0,3,1,28,0,0,345783,9.5,0,3
357,1,1,0,22,0,1,113505,55,5,3
358,0,2,0,38,0,0,237671,13,0,3
359,1,3,0,22,0,0,330931,7.8792,0,2
360,1,3,0,22,0,0,330980,7.8792,0,2
361,0,3,1,40,1,4,347088,27.9,0,3
362,0,2,1,29,1,0,2167,27.7208,0,1
363,0,3,0,45,0,1,2691,14.4542,0,1
364,0,3,1,35,0,0,3101310,7.05,0,3
365,0,3,1,25,1,0,370365,15.5,0,2
366,0,3,1,30,0,0,7076,7.25,0,3
367,1,1,0,60,1,0,110813,75.25,4,1
368,1,3,0,22,0,0,2626,7.2292,0,1
369,1,3,0,22,0,0,14313,7.75,0,2
370,1,1,0,24,0,0,17477,69.3,2,1
371,1,1,1,25,1,0,11765,55.4417,5,1
372,0,3,1,18,1,0,3101267,6.4958,0,3
373,0,3,1,19,0,0,323951,8.05,0,3
374,0,1,1,22,0,0,17760,135.6333,0,1
375,0,3,0,3,3,1,349909,21.075,0,3
376,1,1,0,35,1,0,17604,82.1708,0,1
377,1,3,0,22,0,0,7077,7.25,0,3
378,0,1,1,27,0,2,113503,211.5,3,1
379,0,3,1,20,0,0,2648,4.0125,0,1
380,0,3,1,19,0,0,347069,7.775,0,3
381,1,1,0,42,0,0,17757,227.525,0,1
382,1,3,0,1,0,2,2653,15.7417,0,1
383,0,3,1,32,0,0,23101293,7.925,0,3
384,1,1,0,35,1,0,113789,52,0,3
385,0,3,1,25,0,0,349227,7.8958,0,3
386,0,2,1,18,0,0,14879,73.5,0,3
387,0,3,1,1,5,2,2144,46.9,0,3
388,1,2,0,36,0,0,27849,13,0,3
389,0,3,1,25,0,0,367655,7.7292,0,2
390,1,2,0,17,0,0,1748,12,0,1
391,1,1,1,36,1,2,113760,120,2,3
392,1,3,1,21,0,0,350034,7.7958,0,3
393,0,3,1,28,2,0,3101277,7.925,0,3
394,1,1,0,23,1,0,35273,113.275,4,1
395,1,3,0,24,0,2,9549,16.7,7,3
396,0,3,1,22,0,0,350052,7.7958,0,3
397,0,3,0,31,0,0,350407,7.8542,0,3
398,0,2,1,46,0,0,28403,26,0,3
399,0,2,1,23,0,0,244278,10.5,0,3
400,1,2,0,28,0,0,240929,12.65,0,3
401,1,3,1,39,0,0,23101289,7.925,0,3
402,0,3,1,26,0,0,341826,8.05,0,3
403,0,3,0,21,1,0,4137,9.825,0,3
404,0,3,1,28,1,0,23101279,15.85,0,3
405,0,3,0,20,0,0,315096,8.6625,0,3
406,0,2,1,34,1,0,28664,21,0,3
407,0,3,1,51,0,0,347064,7.75,0,3
408,1,2,1,3,1,1,29106,18.75,0,3
409,0,3,1,21,0,0,312992,7.775,0,3
410,0,3,0,25,3,1,4133,25.4667,0,3
411,0,3,1,25,0,0,349222,7.8958,0,3
412,0,3,1,25,0,0,394140,6.8583,0,2
413,1,1,0,33,1,0,19928,90,3,2
414,0,2,1,30.5,0,0,239853,0,0,3
415,1,3,1,44,0,0,23101269,7.925,0,3
416,0,3,0,25,0,0,343095,8.05,0,3
417,1,2,0,34,1,1,28220,32.5,0,3
418,1,2,0,18,0,2,250652,13,0,3
419,0,2,1,30,0,0,28228,13,0,3
420,0,3,0,10,0,2,345773,24.15,0,3
421,0,3,1,25,0,0,349254,7.8958,0,1
422,0,3,1,21,0,0,513032,7.7333,0,2
423,0,3,1,29,0,0,315082,7.875,0,3
424,0,3,0,28,1,1,347080,14.4,0,3
425,0,3,1,18,1,1,370129,20.2125,0,3
426,0,3,1,25,0,0,434244,7.25,0,3
427,1,2,0,28,1,0,2003,26,0,3
428,1,2,0,19,0,0,250655,26,0,3
429,0,3,1,25,0,0,364851,7.75,0,2
430,1,3,1,32,0,0,392078,8.05,5,3
431,1,1,1,28,0,0,110564,26.55,3,3
432,1,3,0,22,1,0,376564,16.1,0,3
433,1,2,0,42,1,0,3085,26,0,3
434,0,3,1,17,0,0,23101274,7.125,0,3
435,0,1,1,50,1,0,13507,55.9,5,3
436,1,1,0,14,1,2,113760,120,2,3
437,0,3,0,21,2,2,6608,34.375,0,3
438,1,2,0,24,2,3,29106,18.75,0,3
439,0,1,1,64,1,4,19950,263,3,3
440,0,2,1,31,0,0,18723,10.5,0,3
441,1,2,0,45,1,1,13529,26.25,0,3
442,0,3,1,20,0,0,345769,9.5,0,3
443,0,3,1,25,1,0,347076,7.775,0,3
444,1,2,0,28,0,0,230434,13,0,3
445,1,3,1,22,0,0,65306,8.1125,0,3
446,1,1,1,4,0,2,33638,81.8583,1,3
447,1,2,0,13,0,1,250644,19.5,0,3
448,1,1,1,34,0,0,113794,26.55,0,3
449,1,3,0,5,2,1,2666,19.2583,0,1
450,1,1,1,52,0,0,113786,30.5,3,3
451,0,2,1,36,1,2,34651,27.75,0,3
452,0,3,1,25,1,0,65303,19.9667,0,3
453,0,1,1,30,0,0,113051,27.75,3,1
454,1,1,1,49,1,0,17453,89.1042,3,1
455,0,3,1,25,0,0,52817,8.05,0,3
456,1,3,1,29,0,0,349240,7.8958,0,1
457,0,1,1,65,0,0,13509,26.55,5,3
458,1,1,0,35,1,0,17464,51.8625,4,3
459,1,2,0,50,0,0,13531,10.5,0,3
460,0,3,1,25,0,0,371060,7.75,0,2
461,1,1,1,48,0,0,19952,26.55,5,3
462,0,3,1,34,0,0,364506,8.05,0,3
463,0,1,1,47,0,0,111320,38.5,5,3
464,0,2,1,48,0,0,234360,13,0,3
465,0,3,1,25,0,0,2816,8.05,0,3
466,0,3,1,38,0,0,3101306,7.05,0,3
467,0,2,1,30.5,0,0,239853,0,0,3
468,0,1,1,56,0,0,113792,26.55,0,3
469,0,3,1,25,0,0,36209,7.725,0,2
470,1,3,0,0.75,2,1,2666,19.2583,0,1
471,0,3,1,25,0,0,323592,7.25,0,3
472,0,3,1,38,0,0,315089,8.6625,0,3
473,1,2,0,33,1,2,34651,27.75,0,3
474,1,2,0,23,0,0,541,13.7917,4,1
475,0,3,0,22,0,0,7553,9.8375,0,3
476,0,1,1,45.25,0,0,110465,52,1,3
477,0,2,1,34,1,0,31027,21,0,3
478,0,3,1,29,1,0,3460,7.0458,0,3
479,0,3,1,22,0,0,350060,7.5208,0,3
480,1,3,0,2,0,1,3101298,12.2875,0,3
481,0,3,1,9,5,2,2144,46.9,0,3
482,0,2,1,30.5,0,0,239854,0,0,3
483,0,3,1,50,0,0,53594,8.05,0,3
484,1,3,0,63,0,0,4134,9.5875,0,3
485,1,1,1,25,1,0,11967,91.0792,2,1
486,0,3,0,25,3,1,4133,25.4667,0,3
487,1,1,0,35,1,0,19943,90,3,3
488,0,1,1,58,0,0,11771,29.7,2,1
489,0,3,1,30,0,0,518509,8.05,0,3
490,1,3,1,9,1,1,37671,15.9,0,3
491,0,3,1,25,1,0,65304,19.9667,0,3
492,0,3,1,21,0,0,3101317,7.25,0,3
493,0,1,1,55,0,0,113787,30.5,3,3
494,0,1,1,71,0,0,17609,49.5042,0,1
495,0,3,1,21,0,0,445380,8.05,0,3
496,0,3,1,25,0,0,2627,14.4583,0,1
497,1,1,0,54,1,0,36947,78.2667,4,1
498,0,3,1,25,0,0,6212,15.1,0,3
499,0,1,0,25,1,2,113781,151.55,3,3
500,0,3,1,24,0,0,350035,7.7958,0,3
501,0,3,1,17,0,0,315086,8.6625,0,3
502,0,3,0,21,0,0,364846,7.75,0,2
503,0,3,0,25,0,0,330909,7.6292,0,2
504,0,3,0,37,0,0,4135,9.5875,0,3
505,1,1,0,16,0,0,110152,86.5,2,3
506,0,1,1,18,1,0,17758,108.9,3,1
507,1,2,0,33,0,2,26360,26,0,3
508,1,1,1,35,0,0,111427,26.55,0,3
509,0,3,1,28,0,0,4001,22.525,0,3
510,1,3,1,26,0,0,1601,56.4958,0,3
511,1,3,1,29,0,0,382651,7.75,0,2
512,0,3,1,25,0,0,3101316,8.05,0,3
513,1,1,1,36,0,0,17473,26.2875,5,3
514,1,1,0,54,1,0,17603,59.4,0,1
515,0,3,1,24,0,0,349209,7.4958,0,3
516,0,1,1,47,0,0,36967,34.0208,4,3
517,1,2,0,34,0,0,34260,10.5,6,3
518,0,3,1,25,0,0,371110,24.15,0,2
519,1,2,0,36,1,0,226875,26,0,3
520,0,3,1,32,0,0,349242,7.8958,0,3
521,1,1,0,30,0,0,12749,93.5,2,3
522,0,3,1,22,0,0,349252,7.8958,0,3
523,0,3,1,25,0,0,2624,7.225,0,1
524,1,1,0,44,0,1,111361,57.9792,2,1
525,0,3,1,25,0,0,2700,7.2292,0,1
526,0,3,1,40.5,0,0,367232,7.75,0,2
527,1,2,0,50,0,0,14258,10.5,0,3
528,0,1,1,45.25,0,0,17483,221.7792,3,3
529,0,3,1,39,0,0,3101296,7.925,0,3
530,0,2,1,23,2,1,29104,11.5,0,3
531,1,2,0,2,1,1,26360,26,0,3
532,0,3,1,25,0,0,2641,7.2292,0,1
533,0,3,1,17,1,1,2690,7.2292,0,1
534,1,3,0,22,0,2,2668,22.3583,0,1
535,0,3,0,30,0,0,315084,8.6625,0,3
536,1,2,0,7,0,2,13529,26.25,0,3
537,0,1,1,45,0,0,113050,26.55,2,3
538,1,1,0,30,0,0,17761,106.425,0,1
539,0,3,1,25,0,0,364498,14.5,0,3
540,1,1,0,22,0,2,13568,49.5,2,1
541,1,1,0,36,0,2,5735,71,2,3
542,0,3,0,9,4,2,347082,31.275,0,3
543,0,3,0,11,4,2,347082,31.275,0,3
544,1,2,1,32,1,0,2908,26,0,3
545,0,1,1,50,1,0,17761,106.425,3,1
546,0,1,1,64,0,0,693,26,0,3
547,1,2,0,19,1,0,2908,26,0,3
548,1,2,1,28,0,0,2146,13.8625,0,1
549,0,3,1,33,1,1,363291,20.525,0,3
550,1,2,1,8,1,1,33112,36.75,0,3
551,1,1,1,17,0,2,17421,110.8833,3,1
552,0,2,1,27,0,0,244358,26,0,3
553,0,3,1,25,0,0,330979,7.8292,0,2
